state,county,candidate,party,votes
Indiana,Henry County,Eric Holcomb,REP,12591
Indiana,Henry County,Donald Rainwater,LIB,4442
Indiana,Henry County,Woody Myers,DEM,4127
Indiana,Howard County,Eric Holcomb,REP,24284
Indiana,Howard County,Woody Myers,DEM,9832
Indiana,Howard County,Donald Rainwater,LIB,6294
Indiana,Huntington County,Eric Holcomb,REP,11759
Indiana,Huntington County,Donald Rainwater,LIB,3168
Indiana,Huntington County,Woody Myers,DEM,2803
Indiana,Jackson County,Eric Holcomb,REP,11714
Indiana,Jackson County,Donald Rainwater,LIB,4188
Indiana,Jackson County,Woody Myers,DEM,3234
Indiana,Jasper County,Eric Holcomb,REP,10378
Indiana,Jasper County,Woody Myers,DEM,2904
Indiana,Jasper County,Donald Rainwater,LIB,2089
Indiana,Jay County,Eric Holcomb,REP,5227
Indiana,Jay County,Donald Rainwater,LIB,1938
Indiana,Jay County,Woody Myers,DEM,1240
Indiana,Jefferson County,Eric Holcomb,REP,9074
Indiana,Jefferson County,Woody Myers,DEM,3710
Indiana,Jefferson County,Donald Rainwater,LIB,1748
Indiana,Jennings County,Eric Holcomb,REP,7544
Indiana,Jennings County,Donald Rainwater,LIB,2676
Indiana,Jennings County,Woody Myers,DEM,1930
Indiana,Johnson County,Eric Holcomb,REP,47453
Indiana,Johnson County,Woody Myers,DEM,17626
Indiana,Johnson County,Donald Rainwater,LIB,12177
Indiana,Knox County,Eric Holcomb,REP,11209
Indiana,Knox County,Woody Myers,DEM,2809
Indiana,Knox County,Donald Rainwater,LIB,1821
Indiana,Kosciusko County,Eric Holcomb,REP,23007
Indiana,Kosciusko County,Donald Rainwater,LIB,6838
Indiana,Kosciusko County,Woody Myers,DEM,5774
Indiana,LaGrange County,Eric Holcomb,REP,7520
Indiana,LaGrange County,Woody Myers,DEM,1690
Indiana,LaGrange County,Donald Rainwater,LIB,1365
Indiana,Lake County,Woody Myers,DEM,112301
Indiana,Lake County,Eric Holcomb,REP,94802
Indiana,Lake County,Donald Rainwater,LIB,10036
Indiana,LaPorte County,Eric Holcomb,REP,26123
Indiana,LaPorte County,Woody Myers,DEM,18126
Indiana,LaPorte County,Donald Rainwater,LIB,4356
Indiana,Lawrence County,Eric Holcomb,REP,13371
Indiana,Lawrence County,Donald Rainwater,LIB,3881
Indiana,Lawrence County,Woody Myers,DEM,3616
Indiana,Madison County,Eric Holcomb,REP,29367
Indiana,Madison County,Woody Myers,DEM,14205
Indiana,Madison County,Donald Rainwater,LIB,8110
Indiana,Marion County,Woody Myers,DEM,203048
Indiana,Marion County,Eric Holcomb,REP,152154
Indiana,Marion County,Donald Rainwater,LIB,34922
Indiana,Marshall County,Eric Holcomb,REP,13142
Indiana,Marshall County,Woody Myers,DEM,4025
Indiana,Marshall County,Donald Rainwater,LIB,2634
Indiana,Martin County,Eric Holcomb,REP,3232
Indiana,Martin County,Donald Rainwater,LIB,1177
Indiana,Martin County,Woody Myers,DEM,709
Indiana,Miami County,Eric Holcomb,REP,9208
Indiana,Miami County,Donald Rainwater,LIB,2714
Indiana,Miami County,Woody Myers,DEM,2439
Indiana,Monroe County,Woody Myers,DEM,33028
Indiana,Monroe County,Eric Holcomb,REP,24597
Indiana,Monroe County,Donald Rainwater,LIB,4881
Indiana,Montgomery County,Eric Holcomb,REP,10587
Indiana,Montgomery County,Donald Rainwater,LIB,3784
Indiana,Montgomery County,Woody Myers,DEM,2812
Indiana,Morgan County,Eric Holcomb,REP,22160
Indiana,Morgan County,Donald Rainwater,LIB,8183
Indiana,Morgan County,Woody Myers,DEM,5599
Indiana,Newton County,Eric Holcomb,REP,4358
Indiana,Newton County,Woody Myers,DEM,1148
Indiana,Newton County,Donald Rainwater,LIB,1050
Indiana,Noble County,Eric Holcomb,REP,12498
Indiana,Noble County,Donald Rainwater,LIB,3353
Indiana,Noble County,Woody Myers,DEM,3237
Indiana,Ohio County,Eric Holcomb,REP,2210
Indiana,Ohio County,Woody Myers,DEM,641
Indiana,Ohio County,Donald Rainwater,LIB,269
Indiana,Orange County,Eric Holcomb,REP,5591
Indiana,Orange County,Woody Myers,DEM,1952
Indiana,Orange County,Donald Rainwater,LIB,1216
Indiana,Owen County,Eric Holcomb,REP,5856
Indiana,Owen County,Donald Rainwater,LIB,2136
Indiana,Owen County,Woody Myers,DEM,1852
Indiana,Parke County,Eric Holcomb,REP,4764
Indiana,Parke County,Woody Myers,DEM,1127
Indiana,Parke County,Donald Rainwater,LIB,1079
Indiana,Perry County,Eric Holcomb,REP,5521
Indiana,Perry County,Woody Myers,DEM,2518
Indiana,Perry County,Donald Rainwater,LIB,607
Indiana,Pike County,Eric Holcomb,REP,4199
Indiana,Pike County,Woody Myers,DEM,1092
