state,county,candidate,party,votes
New Hampshire,Alexandria, Write-ins,WRI,0
New Hampshire,Ashland,Chris Sununu,REP,792
New Hampshire,Ashland,Dan Feltes,DEM,382
New Hampshire,Ashland,Darryl Perry,LIB,19
New Hampshire,Ashland, Write-ins,WRI,0
New Hampshire,Bath,Chris Sununu,REP,431
New Hampshire,Bath,Dan Feltes,DEM,171
New Hampshire,Bath,Darryl Perry,LIB,11
New Hampshire,Bath, Write-ins,WRI,0
New Hampshire,Benton,Chris Sununu,REP,179
New Hampshire,Benton,Dan Feltes,DEM,46
New Hampshire,Benton,Darryl Perry,LIB,8
New Hampshire,Benton, Write-ins,WRI,0
New Hampshire,Bethlehem,Chris Sununu,REP,910
New Hampshire,Bethlehem,Dan Feltes,DEM,694
New Hampshire,Bethlehem,Darryl Perry,LIB,35
New Hampshire,Bethlehem, Write-ins,WRI,0
New Hampshire,Bridgewater,Chris Sununu,REP,607
New Hampshire,Bridgewater,Dan Feltes,DEM,231
New Hampshire,Bridgewater,Darryl Perry,LIB,9
New Hampshire,Bridgewater, Write-ins,WRI,1
New Hampshire,Bristol,Chris Sununu,REP,1317
New Hampshire,Bristol,Dan Feltes,DEM,495
New Hampshire,Bristol,Darryl Perry,LIB,28
New Hampshire,Bristol, Write-ins,WRI,6
New Hampshire,Campton,Chris Sununu,REP,1358
New Hampshire,Campton,Dan Feltes,DEM,713
New Hampshire,Campton,Darryl Perry,LIB,36
New Hampshire,Campton, Write-ins,WRI,0
New Hampshire,Canaan,Chris Sununu,REP,1291
New Hampshire,Canaan,Dan Feltes,DEM,741
New Hampshire,Canaan,Darryl Perry,LIB,24
New Hampshire,Canaan, Write-ins,WRI,0
New Hampshire,Dorchester,Chris Sununu,REP,153
New Hampshire,Dorchester,Dan Feltes,DEM,71
New Hampshire,Dorchester,Darryl Perry,LIB,5
New Hampshire,Dorchester, Write-ins,WRI,0
New Hampshire,Easton,Dan Feltes,DEM,127
New Hampshire,Easton,Chris Sununu,REP,98
New Hampshire,Easton,Darryl Perry,LIB,8
New Hampshire,Easton, Write-ins,WRI,0
New Hampshire,Ellsworth,Chris Sununu,REP,43
New Hampshire,Ellsworth,Dan Feltes,DEM,32
New Hampshire,Ellsworth,Darryl Perry,LIB,1
New Hampshire,Ellsworth, Write-ins,WRI,0
New Hampshire,Enfield,Chris Sununu,REP,1513
New Hampshire,Enfield,Dan Feltes,DEM,1184
New Hampshire,Enfield,Darryl Perry,LIB,40
New Hampshire,Enfield, Write-ins,WRI,0
New Hampshire,Franconia,Chris Sununu,REP,418
New Hampshire,Franconia,Dan Feltes,DEM,379
New Hampshire,Franconia,Darryl Perry,LIB,9
New Hampshire,Franconia, Write-ins,WRI,0
New Hampshire,Grafton,Chris Sununu,REP,544
New Hampshire,Grafton,Dan Feltes,DEM,213
New Hampshire,Grafton,Darryl Perry,LIB,21
New Hampshire,Grafton, Write-ins,WRI,0
New Hampshire,Groton,Chris Sununu,REP,277
New Hampshire,Groton,Dan Feltes,DEM,90
New Hampshire,Groton,Darryl Perry,LIB,8
New Hampshire,Groton, Write-ins,WRI,0
New Hampshire,Hanover,Dan Feltes,DEM,5020
New Hampshire,Hanover,Chris Sununu,REP,1742
New Hampshire,Hanover,Darryl Perry,LIB,76
New Hampshire,Hanover, Write-ins,WRI,0
New Hampshire,Haverhill,Chris Sununu,REP,1516
New Hampshire,Haverhill,Dan Feltes,DEM,560
New Hampshire,Haverhill,Darryl Perry,LIB,34
New Hampshire,Haverhill, Write-ins,WRI,0
New Hampshire,Hebron,Chris Sununu,REP,390
New Hampshire,Hebron,Dan Feltes,DEM,122
New Hampshire,Hebron,Darryl Perry,LIB,4
New Hampshire,Hebron, Write-ins,WRI,1
New Hampshire,Holderness,Chris Sununu,REP,843
New Hampshire,Holderness,Dan Feltes,DEM,618
New Hampshire,Holderness,Darryl Perry,LIB,14
New Hampshire,Holderness, Write-ins,WRI,0
New Hampshire,Landaff,Chris Sununu,REP,178
New Hampshire,Landaff,Dan Feltes,DEM,79
New Hampshire,Landaff,Darryl Perry,LIB,2
New Hampshire,Landaff, Write-ins,WRI,0
New Hampshire,Lebanon,Dan Feltes,DEM,4335
New Hampshire,Lebanon,Chris Sununu,REP,3394
New Hampshire,Lebanon,Darryl Perry,LIB,108
New Hampshire,Lebanon, Write-ins,WRI,0
New Hampshire,Lincoln,Chris Sununu,REP,630
New Hampshire,Lincoln,Dan Feltes,DEM,265
New Hampshire,Lincoln,Darryl Perry,LIB,12
New Hampshire,Lincoln, Write-ins,WRI,0
New Hampshire,Lisbon,Chris Sununu,REP,553
New Hampshire,Lisbon,Dan Feltes,DEM,223
New Hampshire,Lisbon,Darryl Perry,LIB,12
New Hampshire,Lisbon, Write-ins,WRI,2
New Hampshire,Littleton,Chris Sununu,REP,2130
New Hampshire,Littleton,Dan Feltes,DEM,925
New Hampshire,Littleton,Darryl Perry,LIB,43
New Hampshire,Littleton, Write-ins,WRI,0
New Hampshire,Lyman,Chris Sununu,REP,252
New Hampshire,Lyman,Dan Feltes,DEM,118
New Hampshire,Lyman,Darryl Perry,LIB,9
New Hampshire,Lyman, Write-ins,WRI,0
New Hampshire,Lyme,Dan Feltes,DEM,869
New Hampshire,Lyme,Chris Sununu,REP,397
New Hampshire,Lyme,Darryl Perry,LIB,7
New Hampshire,Lyme, Write-ins,WRI,0
New Hampshire,Monroe,Chris Sununu,REP,378
New Hampshire,Monroe,Dan Feltes,DEM,148
New Hampshire,Monroe,Darryl Perry,LIB,9
New Hampshire,Monroe, Write-ins,WRI,0
New Hampshire,Orange,Chris Sununu,REP,127
New Hampshire,Orange,Dan Feltes,DEM,57
New Hampshire,Orange,Darryl Perry,LIB,7
New Hampshire,Orange, Write-ins,WRI,0
New Hampshire,Orford,Chris Sununu,REP,415
New Hampshire,Orford,Dan Feltes,DEM,399
New Hampshire,Orford,Darryl Perry,LIB,9
New Hampshire,Orford, Write-ins,WRI,0
New Hampshire,Piermont,Chris Sununu,REP,282
New Hampshire,Piermont,Dan Feltes,DEM,151
New Hampshire,Piermont,Darryl Perry,LIB,6
New Hampshire,Piermont, Write-ins,WRI,0
New Hampshire,Plymouth,Chris Sununu,REP,1690
New Hampshire,Plymouth,Dan Feltes,DEM,1530
New Hampshire,Plymouth,Darryl Perry,LIB,94
New Hampshire,Plymouth, Write-ins,WRI,0
New Hampshire,Rumney,Chris Sununu,REP,644
New Hampshire,Rumney,Dan Feltes,DEM,281
New Hampshire,Rumney,Darryl Perry,LIB,18
New Hampshire,Rumney, Write-ins,WRI,0
New Hampshire,Sugar Hill,Chris Sununu,REP,247
New Hampshire,Sugar Hill,Dan Feltes,DEM,231
New Hampshire,Sugar Hill,Darryl Perry,LIB,4
New Hampshire,Sugar Hill, Write-ins,WRI,0
New Hampshire,Thornton,Chris Sununu,REP,1087
New Hampshire,Thornton,Dan Feltes,DEM,573
New Hampshire,Thornton,Darryl Perry,LIB,29
New Hampshire,Thornton, Write-ins,WRI,0
New Hampshire,Warren,Chris Sununu,REP,339
New Hampshire,Warren,Dan Feltes,DEM,123
New Hampshire,Warren,Darryl Perry,LIB,14
New Hampshire,Warren, Write-ins,WRI,0
New Hampshire,Waterville,Chris Sununu,REP,222
New Hampshire,Waterville,Dan Feltes,DEM,142
New Hampshire,Waterville,Darryl Perry,LIB,4
New Hampshire,Waterville, Write-ins,WRI,0
New Hampshire,Wentworth,Chris Sununu,REP,444
New Hampshire,Wentworth,Dan Feltes,DEM,155
New Hampshire,Wentworth,Darryl Perry,LIB,14
New Hampshire,Wentworth, Write-ins,WRI,5
New Hampshire,Woodstock,Chris Sununu,REP,568
New Hampshire,Woodstock,Dan Feltes,DEM,263
New Hampshire,Woodstock,Darryl Perry,LIB,21
New Hampshire,Woodstock, Write-ins,WRI,0
New Hampshire,Amherst,Chris Sununu,REP,4960
New Hampshire,Amherst,Dan Feltes,DEM,2913
New Hampshire,Amherst,Darryl Perry,LIB,105
New Hampshire,Amherst, Write-ins,WRI,0
New Hampshire,Antrim,Chris Sununu,REP,1006
New Hampshire,Antrim,Dan Feltes,DEM,535
New Hampshire,Antrim,Darryl Perry,LIB,24
New Hampshire,Antrim, Write-ins,WRI,2
New Hampshire,Bedford,Chris Sununu,REP,10493
New Hampshire,Bedford,Dan Feltes,DEM,4077
New Hampshire,Bedford,Darryl Perry,LIB,98
New Hampshire,Bedford, Write-ins,WRI,0
New Hampshire,Bennington,Chris Sununu,REP,521
New Hampshire,Bennington,Dan Feltes,DEM,279
New Hampshire,Bennington,Darryl Perry,LIB,21
New Hampshire,Bennington, Write-ins,WRI,1
New Hampshire,Brookline,Chris Sununu,REP,2445
New Hampshire,Brookline,Dan Feltes,DEM,1101
New Hampshire,Brookline,Darryl Perry,LIB,50
New Hampshire,Brookline, Write-ins,WRI,0
New Hampshire,Deering,Chris Sununu,REP,836
New Hampshire,Deering,Dan Feltes,DEM,292
New Hampshire,Deering,Darryl Perry,LIB,16
New Hampshire,Deering, Write-ins,WRI,0
New Hampshire,Francestown,Chris Sununu,REP,706
New Hampshire,Francestown,Dan Feltes,DEM,400
New Hampshire,Francestown,Darryl Perry,LIB,23
New Hampshire,Francestown, Write-ins,WRI,0
New Hampshire,Goffstown,Chris Sununu,REP,7284
New Hampshire,Goffstown,Dan Feltes,DEM,2714
New Hampshire,Goffstown,Darryl Perry,LIB,123
New Hampshire,Goffstown, Write-ins,WRI,0
New Hampshire,Greenfield,Chris Sununu,REP,636
New Hampshire,Greenfield,Dan Feltes,DEM,357
New Hampshire,Greenfield,Darryl Perry,LIB,8
New Hampshire,Greenfield, Write-ins,WRI,0
New Hampshire,Greenville,Chris Sununu,REP,721
New Hampshire,Greenville,Dan Feltes,DEM,305
New Hampshire,Greenville,Darryl Perry,LIB,25
New Hampshire,Greenville, Write-ins,WRI,0
New Hampshire,Hancock,Dan Feltes,DEM,658
New Hampshire,Hancock,Chris Sununu,REP,605
New Hampshire,Hancock,Darryl Perry,LIB,13
New Hampshire,Hancock, Write-ins,WRI,0
New Hampshire,Hillsborough,Chris Sununu,REP,2714
New Hampshire,Hillsborough,Dan Feltes,DEM,955
New Hampshire,Hillsborough,Darryl Perry,LIB,61
New Hampshire,Hillsborough, Write-ins,WRI,0
New Hampshire,Hollis,Chris Sununu,REP,3582
New Hampshire,Hollis,Dan Feltes,DEM,2005
New Hampshire,Hollis,Darryl Perry,LIB,56
New Hampshire,Hollis, Write-ins,WRI,0
New Hampshire,Hudson,Chris Sununu,REP,10546
New Hampshire,Hudson,Dan Feltes,DEM,3726
New Hampshire,Hudson,Darryl Perry,LIB,175
New Hampshire,Hudson, Write-ins,WRI,7
New Hampshire,Litchfield,Chris Sununu,REP,4064
New Hampshire,Litchfield,Dan Feltes,DEM,1210
New Hampshire,Litchfield,Darryl Perry,LIB,72
New Hampshire,Litchfield, Write-ins,WRI,0
New Hampshire,Lyndeborough,Chris Sununu,REP,742
New Hampshire,Lyndeborough,Dan Feltes,DEM,370
New Hampshire,Lyndeborough,Darryl Perry,LIB,21
New Hampshire,Lyndeborough, Write-ins,WRI,0
New Hampshire,Manchester,Chris Sununu,REP,32240
New Hampshire,Manchester,Dan Feltes,DEM,17242
New Hampshire,Manchester,Darryl Perry,LIB,1029
New Hampshire,Manchester, Write-ins,WRI,0
New Hampshire,Mason,Chris Sununu,REP,672
New Hampshire,Mason,Dan Feltes,DEM,253
New Hampshire,Mason,Darryl Perry,LIB,23
New Hampshire,Mason, Write-ins,WRI,1
New Hampshire,Merrimack,Chris Sununu,REP,11474
New Hampshire,Merrimack,Dan Feltes,DEM,4835
New Hampshire,Merrimack,Darryl Perry,LIB,263
New Hampshire,Merrimack, Write-ins,WRI,0
New Hampshire,Milford,Chris Sununu,REP,6121
New Hampshire,Milford,Dan Feltes,DEM,2609
New Hampshire,Milford,Darryl Perry,LIB,149
New Hampshire,Milford, Write-ins,WRI,0
New Hampshire,Mont Vernon,Chris Sununu,REP,1062
New Hampshire,Mont Vernon,Dan Feltes,DEM,673
New Hampshire,Mont Vernon,Darryl Perry,LIB,21
New Hampshire,Mont Vernon, Write-ins,WRI,0
New Hampshire,Nashua,Chris Sununu,REP,26179
New Hampshire,Nashua,Dan Feltes,DEM,17056
New Hampshire,Nashua,Darryl Perry,LIB,735
New Hampshire,Nashua, Write-ins,WRI,0
New Hampshire,New Boston,Chris Sununu,REP,2737
New Hampshire,New Boston,Dan Feltes,DEM,1102
New Hampshire,New Boston,Darryl Perry,LIB,44
New Hampshire,New Boston, Write-ins,WRI,4
New Hampshire,New Ipswich,Chris Sununu,REP,0
New Hampshire,New Ipswich,Dan Feltes,DEM,0
New Hampshire,New Ipswich,Darryl Perry,LIB,0
New Hampshire,New Ipswich, Write-ins,WRI,0
New Hampshire,Pelham,Chris Sununu,REP,6609
New Hampshire,Pelham,Dan Feltes,DEM,2020
New Hampshire,Pelham,Darryl Perry,LIB,124
New Hampshire,Pelham, Write-ins,WRI,0
New Hampshire,Peterborough,Dan Feltes,DEM,2355
New Hampshire,Peterborough,Chris Sununu,REP,1906
New Hampshire,Peterborough,Darryl Perry,LIB,55
New Hampshire,Peterborough, Write-ins,WRI,0
New Hampshire,Sharon,Chris Sununu,REP,161
New Hampshire,Sharon,Dan Feltes,DEM,107
New Hampshire,Sharon,Darryl Perry,LIB,4
New Hampshire,Sharon, Write-ins,WRI,0
New Hampshire,Temple,Chris Sununu,REP,574
New Hampshire,Temple,Dan Feltes,DEM,360
New Hampshire,Temple,Darryl Perry,LIB,12
New Hampshire,Temple, Write-ins,WRI,0
New Hampshire,Weare,Chris Sununu,REP,4174
New Hampshire,Weare,Dan Feltes,DEM,1248
New Hampshire,Weare,Darryl Perry,LIB,72
New Hampshire,Weare, Write-ins,WRI,2
New Hampshire,Wilton,Chris Sununu,REP,1528
New Hampshire,Wilton,Dan Feltes,DEM,881
New Hampshire,Wilton,Darryl Perry,LIB,37
New Hampshire,Wilton, Write-ins,WRI,0
New Hampshire,Windsor,Chris Sununu,REP,100
New Hampshire,Windsor,Dan Feltes,DEM,23
New Hampshire,Windsor,Darryl Perry,LIB,4
New Hampshire,Windsor, Write-ins,WRI,0
New Hampshire,Allenstown,Chris Sununu,REP,1674
New Hampshire,Allenstown,Dan Feltes,DEM,556
New Hampshire,Allenstown,Darryl Perry,LIB,40
New Hampshire,Allenstown, Write-ins,WRI,0
New Hampshire,Andover,Chris Sununu,REP,945
New Hampshire,Andover,Dan Feltes,DEM,623
New Hampshire,Andover,Darryl Perry,LIB,14
New Hampshire,Andover, Write-ins,WRI,5
New Hampshire,Boscawen,Chris Sununu,REP,1427
New Hampshire,Boscawen,Dan Feltes,DEM,557
New Hampshire,Boscawen,Darryl Perry,LIB,39
New Hampshire,Boscawen, Write-ins,WRI,0
New Hampshire,Bow,Chris Sununu,REP,3436
New Hampshire,Bow,Dan Feltes,DEM,2031
New Hampshire,Bow,Darryl Perry,LIB,39
New Hampshire,Bow, Write-ins,WRI,0
New Hampshire,Bradford,Chris Sununu,REP,674
New Hampshire,Bradford,Dan Feltes,DEM,363
New Hampshire,Bradford,Darryl Perry,LIB,21
New Hampshire,Bradford, Write-ins,WRI,3
New Hampshire,Canterbury,Chris Sununu,REP,993
New Hampshire,Canterbury,Dan Feltes,DEM,707
New Hampshire,Canterbury,Darryl Perry,LIB,27
New Hampshire,Canterbury, Write-ins,WRI,0
New Hampshire,Chichester,Chris Sununu,REP,1249
New Hampshire,Chichester,Dan Feltes,DEM,451
New Hampshire,Chichester,Darryl Perry,LIB,23
New Hampshire,Chichester, Write-ins,WRI,3
New Hampshire,Concord,Chris Sununu,REP,12080
New Hampshire,Concord,Dan Feltes,DEM,10901
New Hampshire,Concord,Darryl Perry,LIB,296
New Hampshire,Concord, Write-ins,WRI,7
New Hampshire,Danbury,Chris Sununu,REP,525
New Hampshire,Danbury,Dan Feltes,DEM,182
New Hampshire,Danbury,Darryl Perry,LIB,17
New Hampshire,Danbury, Write-ins,WRI,0
New Hampshire,Dunbarton,Chris Sununu,REP,1449
New Hampshire,Dunbarton,Dan Feltes,DEM,547
New Hampshire,Dunbarton,Darryl Perry,LIB,20
New Hampshire,Dunbarton, Write-ins,WRI,0
New Hampshire,Epsom,Chris Sununu,REP,2228
New Hampshire,Epsom,Dan Feltes,DEM,636
New Hampshire,Epsom,Darryl Perry,LIB,43
New Hampshire,Epsom, Write-ins,WRI,0
New Hampshire,Franklin,Chris Sununu,REP,2923
New Hampshire,Franklin,Dan Feltes,DEM,1104
New Hampshire,Franklin,Darryl Perry,LIB,77
New Hampshire,Franklin, Write-ins,WRI,10
New Hampshire,Henniker,Chris Sununu,REP,1596
New Hampshire,Henniker,Dan Feltes,DEM,1002
New Hampshire,Henniker,Darryl Perry,LIB,61
New Hampshire,Henniker, Write-ins,WRI,0
New Hampshire,Hill,Chris Sununu,REP,486
New Hampshire,Hill,Dan Feltes,DEM,133
New Hampshire,Hill,Darryl Perry,LIB,13
New Hampshire,Hill, Write-ins,WRI,1
New Hampshire,Hooksett,Chris Sununu,REP,6282
New Hampshire,Hooksett,Dan Feltes,DEM,2159
New Hampshire,Hooksett,Darryl Perry,LIB,86
New Hampshire,Hooksett, Write-ins,WRI,0
New Hampshire,Hopkinton,Chris Sununu,REP,2094
New Hampshire,Hopkinton,Dan Feltes,DEM,2026
New Hampshire,Hopkinton,Darryl Perry,LIB,38
New Hampshire,Hopkinton, Write-ins,WRI,0
New Hampshire,Loudon,Chris Sununu,REP,2690
New Hampshire,Loudon,Dan Feltes,DEM,850
New Hampshire,Loudon,Darryl Perry,LIB,55
New Hampshire,Loudon, Write-ins,WRI,6
New Hampshire,Newbury,Chris Sununu,REP,1087
New Hampshire,Newbury,Dan Feltes,DEM,543
New Hampshire,Newbury,Darryl Perry,LIB,17
New Hampshire,Newbury, Write-ins,WRI,0
New Hampshire,New London,Chris Sununu,REP,1710
New Hampshire,New London,Dan Feltes,DEM,1390
New Hampshire,New London,Darryl Perry,LIB,22
New Hampshire,New London, Write-ins,WRI,1
New Hampshire,Northfield,Chris Sununu,REP,1912
New Hampshire,Northfield,Dan Feltes,DEM,666
New Hampshire,Northfield,Darryl Perry,LIB,50
New Hampshire,Northfield, Write-ins,WRI,0
New Hampshire,Pembroke,Chris Sununu,REP,2948
New Hampshire,Pembroke,Dan Feltes,DEM,1302
New Hampshire,Pembroke,Darryl Perry,LIB,52
New Hampshire,Pembroke, Write-ins,WRI,0
New Hampshire,Pittsfield,Chris Sununu,REP,1588
New Hampshire,Pittsfield,Dan Feltes,DEM,455
New Hampshire,Pittsfield,Darryl Perry,LIB,36
New Hampshire,Pittsfield, Write-ins,WRI,0
New Hampshire,Salisbury,Chris Sununu,REP,656
New Hampshire,Salisbury,Dan Feltes,DEM,249
New Hampshire,Salisbury,Darryl Perry,LIB,14
New Hampshire,Salisbury, Write-ins,WRI,0
New Hampshire,Sutton,Chris Sununu,REP,815
New Hampshire,Sutton,Dan Feltes,DEM,520
New Hampshire,Sutton,Darryl Perry,LIB,16
New Hampshire,Sutton, Write-ins,WRI,0
New Hampshire,Warner,Chris Sununu,REP,1144
New Hampshire,Warner,Dan Feltes,DEM,760
New Hampshire,Warner,Darryl Perry,LIB,27
New Hampshire,Warner, Write-ins,WRI,0
New Hampshire,Webster,Chris Sununu,REP,861
New Hampshire,Webster,Dan Feltes,DEM,357
New Hampshire,Webster,Darryl Perry,LIB,10
New Hampshire,Webster, Write-ins,WRI,0
New Hampshire,Wilmot,Chris Sununu,REP,556
New Hampshire,Wilmot,Dan Feltes,DEM,391
New Hampshire,Wilmot,Darryl Perry,LIB,10
New Hampshire,Wilmot, Write-ins,WRI,0
New Hampshire,Atkinson,Chris Sununu,REP,3749
New Hampshire,Atkinson,Dan Feltes,DEM,1283
New Hampshire,Atkinson,Darryl Perry,LIB,45
New Hampshire,Atkinson, Write-ins,WRI,0
New Hampshire,Auburn,Chris Sununu,REP,3058
New Hampshire,Auburn,Dan Feltes,DEM,778
New Hampshire,Auburn,Darryl Perry,LIB,47
New Hampshire,Auburn, Write-ins,WRI,0
New Hampshire,Brentwood,Chris Sununu,REP,1945
New Hampshire,Brentwood,Dan Feltes,DEM,893
New Hampshire,Brentwood,Darryl Perry,LIB,32
New Hampshire,Brentwood, Write-ins,WRI,0
New Hampshire,Candia,Chris Sununu,REP,2152
New Hampshire,Candia,Dan Feltes,DEM,575
New Hampshire,Candia,Darryl Perry,LIB,49
New Hampshire,Candia, Write-ins,WRI,5
New Hampshire,Chester,Chris Sununu,REP,2562
New Hampshire,Chester,Dan Feltes,DEM,820
New Hampshire,Chester,Darryl Perry,LIB,43
New Hampshire,Chester, Write-ins,WRI,0
New Hampshire,Danville,Chris Sununu,REP,2106
New Hampshire,Danville,Dan Feltes,DEM,621
New Hampshire,Danville,Darryl Perry,LIB,56
New Hampshire,Danville, Write-ins,WRI,0
New Hampshire,Deerfield,Chris Sununu,REP,2338
New Hampshire,Deerfield,Dan Feltes,DEM,808
New Hampshire,Deerfield,Darryl Perry,LIB,47
New Hampshire,Deerfield, Write-ins,WRI,1
New Hampshire,Derry,Chris Sununu,REP,12519
New Hampshire,Derry,Dan Feltes,DEM,4967
New Hampshire,Derry,Darryl Perry,LIB,235
New Hampshire,Derry, Write-ins,WRI,0
New Hampshire,East Kingston,Chris Sununu,REP,1194
New Hampshire,East Kingston,Dan Feltes,DEM,449
New Hampshire,East Kingston,Darryl Perry,LIB,19
New Hampshire,East Kingston, Write-ins,WRI,0
New Hampshire,Epping,Chris Sununu,REP,3106
New Hampshire,Epping,Dan Feltes,DEM,1146
New Hampshire,Epping,Darryl Perry,LIB,54
New Hampshire,Epping, Write-ins,WRI,0
New Hampshire,Exeter,Chris Sununu,REP,5443
New Hampshire,Exeter,Dan Feltes,DEM,4660
New Hampshire,Exeter,Darryl Perry,LIB,109
New Hampshire,Exeter, Write-ins,WRI,3
New Hampshire,Fremont,Chris Sununu,REP,2154
New Hampshire,Fremont,Dan Feltes,DEM,635
New Hampshire,Fremont,Darryl Perry,LIB,37
New Hampshire,Fremont, Write-ins,WRI,0
New Hampshire,Greenland,Chris Sununu,REP,1855
New Hampshire,Greenland,Dan Feltes,DEM,1009
New Hampshire,Greenland,Darryl Perry,LIB,18
New Hampshire,Greenland, Write-ins,WRI,0
New Hampshire,Hampstead,Chris Sununu,REP,4361
New Hampshire,Hampstead,Dan Feltes,DEM,1403
New Hampshire,Hampstead,Darryl Perry,LIB,55
New Hampshire,Hampstead, Write-ins,WRI,10
New Hampshire,Hampton,Chris Sununu,REP,7674
New Hampshire,Hampton,Dan Feltes,DEM,3598
New Hampshire,Hampton,Darryl Perry,LIB,140
New Hampshire,Hampton, Write-ins,WRI,0
New Hampshire,Hampton Falls,Chris Sununu,REP,1206
New Hampshire,Hampton Falls,Dan Feltes,DEM,469
New Hampshire,Hampton Falls,Darryl Perry,LIB,15
New Hampshire,Hampton Falls, Write-ins,WRI,0
New Hampshire,Kensington,Chris Sununu,REP,1001
New Hampshire,Kensington,Dan Feltes,DEM,520
New Hampshire,Kensington,Darryl Perry,LIB,20
New Hampshire,Kensington, Write-ins,WRI,0
New Hampshire,Kingston,Chris Sununu,REP,2966
New Hampshire,Kingston,Dan Feltes,DEM,1054
New Hampshire,Kingston,Darryl Perry,LIB,40
New Hampshire,Kingston, Write-ins,WRI,4
New Hampshire,Londonderry,Chris Sununu,REP,11303
New Hampshire,Londonderry,Dan Feltes,DEM,4302
New Hampshire,Londonderry,Darryl Perry,LIB,152
New Hampshire,Londonderry, Write-ins,WRI,0
New Hampshire,New Castle,Chris Sununu,REP,508
New Hampshire,New Castle,Dan Feltes,DEM,402
New Hampshire,New Castle,Darryl Perry,LIB,7
New Hampshire,New Castle, Write-ins,WRI,1
New Hampshire,Newfields,Chris Sununu,REP,825
New Hampshire,Newfields,Dan Feltes,DEM,414
New Hampshire,Newfields,Darryl Perry,LIB,13
New Hampshire,Newfields, Write-ins,WRI,0
New Hampshire,Newington,Chris Sununu,REP,426
New Hampshire,Newington,Dan Feltes,DEM,204
New Hampshire,Newington,Darryl Perry,LIB,5
New Hampshire,Newington, Write-ins,WRI,0
New Hampshire,Newmarket,Chris Sununu,REP,3150
New Hampshire,Newmarket,Dan Feltes,DEM,2644
New Hampshire,Newmarket,Darryl Perry,LIB,108
New Hampshire,Newmarket, Write-ins,WRI,0
New Hampshire,Newton,Chris Sununu,REP,2123
New Hampshire,Newton,Dan Feltes,DEM,789
New Hampshire,Newton,Darryl Perry,LIB,52
New Hampshire,Newton, Write-ins,WRI,0
New Hampshire,North Hampton,Chris Sununu,REP,2250
New Hampshire,North Hampton,Dan Feltes,DEM,1158
New Hampshire,North Hampton,Darryl Perry,LIB,31
New Hampshire,North Hampton, Write-ins,WRI,1
New Hampshire,Northwood,Chris Sununu,REP,1967
New Hampshire,Northwood,Dan Feltes,DEM,807
New Hampshire,Northwood,Darryl Perry,LIB,46
New Hampshire,Northwood, Write-ins,WRI,9
New Hampshire,Nottingham,Chris Sununu,REP,2381
New Hampshire,Nottingham,Dan Feltes,DEM,1056
New Hampshire,Nottingham,Darryl Perry,LIB,52
New Hampshire,Nottingham, Write-ins,WRI,0
New Hampshire,Plaistow,Chris Sununu,REP,3162
New Hampshire,Plaistow,Dan Feltes,DEM,1296
New Hampshire,Plaistow,Darryl Perry,LIB,75
New Hampshire,Plaistow, Write-ins,WRI,4
New Hampshire,Portsmouth,Dan Feltes,DEM,7350
New Hampshire,Portsmouth,Chris Sununu,REP,6911
New Hampshire,Portsmouth,Darryl Perry,LIB,178
New Hampshire,Portsmouth, Write-ins,WRI,0
New Hampshire,Raymond,Chris Sununu,REP,4494
New Hampshire,Raymond,Dan Feltes,DEM,1328
New Hampshire,Raymond,Darryl Perry,LIB,83
New Hampshire,Raymond, Write-ins,WRI,0
New Hampshire,Rye,Chris Sununu,REP,2638
New Hampshire,Rye,Dan Feltes,DEM,1757
New Hampshire,Rye,Darryl Perry,LIB,28
New Hampshire,Rye, Write-ins,WRI,4
New Hampshire,Salem,Chris Sununu,REP,13202
New Hampshire,Salem,Dan Feltes,DEM,4289
New Hampshire,Salem,Darryl Perry,LIB,162
New Hampshire,Salem, Write-ins,WRI,0
New Hampshire,Sandown,Chris Sununu,REP,2919
New Hampshire,Sandown,Dan Feltes,DEM,967
New Hampshire,Sandown,Darryl Perry,LIB,67
New Hampshire,Sandown, Write-ins,WRI,0
New Hampshire,Seabrook,Chris Sununu,REP,3665
New Hampshire,Seabrook,Dan Feltes,DEM,1144
New Hampshire,Seabrook,Darryl Perry,LIB,77
New Hampshire,Seabrook, Write-ins,WRI,0
New Hampshire,South Hampton,Chris Sununu,REP,420
New Hampshire,South Hampton,Dan Feltes,DEM,215
New Hampshire,South Hampton,Darryl Perry,LIB,9
New Hampshire,South Hampton, Write-ins,WRI,0
New Hampshire,Stratham,Chris Sununu,REP,3377
New Hampshire,Stratham,Dan Feltes,DEM,2026
New Hampshire,Stratham,Darryl Perry,LIB,34
New Hampshire,Stratham, Write-ins,WRI,0
New Hampshire,Windham,Chris Sununu,REP,7241
New Hampshire,Windham,Dan Feltes,DEM,2403
New Hampshire,Windham,Darryl Perry,LIB,98
New Hampshire,Windham, Write-ins,WRI,0
New Hampshire,Barrington,Chris Sununu,REP,0
New Hampshire,Barrington,Dan Feltes,DEM,0
New Hampshire,Barrington,Darryl Perry,LIB,0
New Hampshire,Barrington, Write-ins,WRI,0
New Hampshire,Dover,Chris Sununu,REP,10214
New Hampshire,Dover,Dan Feltes,DEM,8392
New Hampshire,Dover,Darryl Perry,LIB,324
New Hampshire,Dover, Write-ins,WRI,11
New Hampshire,Durham,Dan Feltes,DEM,4332
New Hampshire,Durham,Chris Sununu,REP,3020
New Hampshire,Durham,Darryl Perry,LIB,143
